Aeroporto,Anno,Periodo,Zona,Pass_Arrivo,Pass_Partenza
Olbia,2015,S1,02,49271,43168
Olbia,2015,S1,04,1999,1785
Alghero,2015,S1,02,47388,44754
Alghero,2015,S1,12,18476,15736
Olbia,2015,S1,13,15060,11650
Alghero,2015,S1,11,12735,12516
Alghero,2015,S1,03 + 04,58431,55088
Olbia,2015,S1,14,36712,29306
Olbia,2015,S1,03,25373,23317
Alghero,2015,S1,13 + 14,23718,20948
Olbia,2015,S1,12,7850,5985
Olbia,2015,S1,11,16096,13669
Alghero,2015,S2,02,29389,26819
Olbia,2015,S2,13,18559,16592
Alghero,2015,S2,11,6234,5683
Alghero,2015,S2,03 + 04,31580,29568
Alghero,2015,S2,13 + 14,12405,11795
Olbia,2015,S2,12,12591,11039
Alghero,2015,S2,12,16864,15036
Olbia,2015,S2,03,21363,19364
Olbia,2015,S2,04,4639,3255
Olbia,2015,S2,02,55271,47923
Olbia,2015,S2,14,25932,25484
Olbia,2015,S2,11,14258,13284
Alghero,2015,S3,13 + 14,16330,14021
Olbia,2015,S3,03,32825,29895
Alghero,2015,S3,11,7185,6327
Alghero,2015,S3,12,18653,18495
Alghero,2015,S3,03 + 04,36417,32805
Olbia,2015,S3,14,29493,26295
Olbia,2015,S3,11,31740,25437
Alghero,2015,S3,02,35799,31304
Olbia,2015,S3,02,87890,77934
Olbia,2015,S3,12,19130,17319
Olbia,2015,S3,04,10121,8976
Olbia,2015,S3,13,29299,26709
Olbia,2015,S4,04,15017,15558
Alghero,2015,S4,03 + 04,35546,37059
Alghero,2015,S4,02,36524,38754
Olbia,2015,S4,02,89520,97195
Olbia,2015,S4,13,26187,28894
Olbia,2015,S4,03,32699,35699
Alghero,2015,S4,13 + 14,15866,16781
Olbia,2015,S4,11,31820,37324
Alghero,2015,S4,11,7361,7829
Alghero,2015,S4,12,16238,16879
Olbia,2015,S4,14,31124,32335
Olbia,2015,S4,12,16367,17775
Alghero,2015,S5,03 + 04,50433,56203
Olbia,2015,S5,14,41734,47909
Alghero,2015,S5,02,43230,52362
Olbia,2015,S5,03,25044,30916
Olbia,2015,S5,12,13470,16524
Olbia,2015,S5,11,17695,21207
Olbia,2015,S5,13,26455,33312
Alghero,2015,S5,12,18498,21387
Alghero,2015,S5,13 + 14,21985,24292
Alghero,2015,S5,11,10952,12148
Olbia,2015,S5,04,3595,5635
Olbia,2015,S5,02,54764,75018
Alghero,2015,W1,03 + 04,55768,56033
Olbia,2015,W1,11 + 12,388,395
Alghero,2015,W1,02,36367,37576
Olbia,2015,W1,02,27290,28796
Alghero,2015,W1,11 + 12,15062,15343
Olbia,2015,W1,13 + 14,3055,2011
Olbia,2015,W1,03 + 04,22573,22733
Alghero,2015,W1,13 + 14,7139,6844
Alghero,2015,W2,02,27198,26993
Alghero,2015,W2,11 + 12,10635,10721
Olbia,2015,W2,03 + 04,23275,24212
Olbia,2015,W2,11 + 12,2289,4631
Olbia,2015,W2,13 + 14,4386,8967
Alghero,2015,W2,03 + 04,38830,39945
Alghero,2015,W2,13 + 14,5478,6318
Olbia,2015,W2,02,30755,30207
Alghero,2014,S1,12,20949,17898
Alghero,2014,S1,13 + 14,22880,19962
Alghero,2014,S1,11,14878,13709
Olbia,2014,S1,14,31404,24859
Olbia,2014,S1,02,43894,41278
Olbia,2014,S1,03,26245,24973
Olbia,2014,S1,11,18241,15615
Alghero,2014,S1,02,44298,41444
Olbia,2014,S1,13,15183,11732
Olbia,2014,S1,04,1282,1178
Alghero,2014,S1,03 + 04,46997,45835
Olbia,2014,S1,12,8246,6780
Olbia,2014,S2,03,22188,20484
Olbia,2014,S2,11,13715,13986
Alghero,2014,S2,11,7235,6643
Olbia,2014,S2,02,54547,44134
Olbia,2014,S2,13,16125,15010
Alghero,2014,S2,02,29475,25569
Olbia,2014,S2,14,25840,24865
Alghero,2014,S2,12,15984,14171
Olbia,2014,S2,12,9286,8327
Alghero,2014,S2,13 + 14,12431,12249
Alghero,2014,S2,03 + 04,27746,26111
Olbia,2014,S2,04,6090,4609
Alghero,2014,S3,03 + 04,30972,28569
Olbia,2014,S3,02,79625,73649
Alghero,2014,S3,12,23037,21980
Alghero,2014,S3,13 + 14,16070,13209
Olbia,2014,S3,03,29308,26871
Olbia,2014,S3,04,10330,9418
Alghero,2014,S3,02,34186,29289
Olbia,2014,S3,14,28369,24524
Olbia,2014,S3,11,27960,23191
Olbia,2014,S3,12,15925,13920
Olbia,2014,S3,13,23505,20756
Alghero,2014,S3,11,9697,8438
Alghero,2014,S4,03 + 04,33433,34554
Alghero,2014,S4,11,10074,10657
Olbia,2014,S4,14,30484,31387
Alghero,2014,S4,12,17056,19349
Olbia,2014,S4,12,14938,15998
Olbia,2014,S4,11,32056,36338
Alghero,2014,S4,02,34280,35207
Alghero,2014,S4,13 + 14,15889,17061
Olbia,2014,S4,02,83343,90975
Olbia,2014,S4,03,30852,33882
Olbia,2014,S4,13,22732,24497
Olbia,2014,S4,04,14730,15860
Alghero,2014,S5,12,21278,23941
Olbia,2014,S5,02,52001,69385
Olbia,2014,S5,04,4385,6049
Alghero,2014,S5,13 + 14,24983,27359
Olbia,2014,S5,03,26250,31437
Olbia,2014,S5,12,11391,14398
Olbia,2014,S5,14,41890,49212
Alghero,2014,S5,11,14478,16116
Olbia,2014,S5,11,19613,23238
Alghero,2014,S5,02,38237,45759
Alghero,2014,S5,03 + 04,44378,50805
Olbia,2014,S5,13,22014,27382
Alghero,2014,W1,11 + 12,15093,15684
Alghero,2014,W1,13 + 14,5976,5981
Olbia,2014,W1,03 + 04,26873,27410
Alghero,2014,W1,03 + 04,41871,42902
Olbia,2014,W1,02,31696,33968
Olbia,2014,W1,13 + 14,2601,2579
Alghero,2014,W1,02,33955,34288
Olbia,2014,W1,11 + 12,1371,1696
Alghero,2014,W2,03 + 04,47245,46303
Olbia,2014,W2,02,26524,26316
Olbia,2014,W2,11 + 12,79,1437
Olbia,2014,W2,13 + 14,2298,4902
Olbia,2014,W2,03 + 04,20811,21434
Alghero,2014,W2,11 + 12,12020,13426
Alghero,2014,W2,13 + 14,7000,9117
Alghero,2014,W2,02,31463,30748
Alghero,2013,S1,12,19434,18012
Alghero,2013,S1,11,9552,9585
Alghero,2013,S1,13 + 14,24443,23241
Olbia,2013,S1,11,16823,13744
Alghero,2013,S1,02,36183,34353
Olbia,2013,S1,02,38723,38630
Olbia,2013,S1,14,29176,22762
Olbia,2013,S1,12,7399,5691
Olbia,2013,S1,03,23094,23410
Olbia,2013,S1,04,1520,1679
Alghero,2013,S1,03 + 04,46383,45305
Olbia,2013,S1,13,10789,8976
Alghero,2013,S2,03 + 04,29718,26981
Olbia,2013,S2,12,9582,8918
Olbia,2013,S2,04,5188,3879
Alghero,2013,S2,13 + 14,11931,11801
Alghero,2013,S2,11,5863,5567
Olbia,2013,S2,13,12775,11971
Olbia,2013,S2,02,53733,42532
Alghero,2013,S2,02,29480,24488
Olbia,2013,S2,03,21672,18903
Alghero,2013,S2,12,15227,13526
Olbia,2013,S2,14,26029,24435
Olbia,2013,S2,11,12776,12376
Alghero,2013,S3,03 + 04,32896,30427
Alghero,2013,S3,02,34725,30736
Olbia,2013,S3,04,8667,8095
Alghero,2013,S3,13 + 14,16421,13721
Olbia,2013,S3,03,28559,27707
Olbia,2013,S3,13,17812,16689
Alghero,2013,S3,11,7502,6682
Olbia,2013,S3,12,12894,11829
Olbia,2013,S3,11,25732,21099
Olbia,2013,S3,14,25170,24408
Olbia,2013,S3,02,74069,69942
Alghero,2013,S3,12,19685,19195
Olbia,2013,S4,13,16405,18783
Alghero,2013,S4,02,34332,35698
Alghero,2013,S4,11,9977,10324
Olbia,2013,S4,14,26160,26467
Olbia,2013,S4,12,12871,13721
Alghero,2013,S4,03 + 04,32666,33399
Alghero,2013,S4,13 + 14,15645,18022
Alghero,2013,S4,12,14740,16676
Olbia,2013,S4,11,29240,33106
Olbia,2013,S4,04,12997,13835
Olbia,2013,S4,02,84513,88837
Olbia,2013,S4,03,30857,32416
Alghero,2013,S5,02,32147,40181
Olbia,2013,S5,04,3921,5362
Olbia,2013,S5,13,16096,20285
Olbia,2013,S5,14,39374,44912
Olbia,2013,S5,12,10800,13313
Olbia,2013,S5,11,16719,19884
Alghero,2013,S5,13 + 14,25260,27522
Alghero,2013,S5,12,19534,22863
Olbia,2013,S5,03,25657,32037
Alghero,2013,S5,11,11961,13066
Alghero,2013,S5,03 + 04,41347,47341
Olbia,2013,S5,02,52645,70569
Alghero,2013,W1,03 + 04,45616,42572
Alghero,2013,W1,13 + 14,9241,7972
Alghero,2013,W1,02,35218,34115
Olbia,2013,W1,11 + 12,606,607
Alghero,2013,W1,11 + 12,15599,14262
Olbia,2013,W1,02,30825,28860
Olbia,2013,W1,03 + 04,24787,24954
Olbia,2013,W1,13 + 14,5342,4601
Alghero,2013,W2,13 + 14,6837,8969
Alghero,2013,W2,03 + 04,28095,28697
Olbia,2013,W2,11 + 12,989,1890
Olbia,2013,W2,13 + 14,2595,5398
Alghero,2013,W2,11 + 12,14789,15800
Olbia,2013,W2,02,26037,26065
Alghero,2013,W2,02,30575,29256
Olbia,2013,W2,03 + 04,24483,25085
Olbia,2012,S1,13,11543,9542
Alghero,2012,S1,13 + 14,23638,21034
Olbia,2012,S1,03,20216,19077
Olbia,2012,S1,12,4387,3202
Alghero,2012,S1,03 + 04,51579,50043
Alghero,2012,S1,02,39821,38034
Alghero,2012,S1,12,21142,18982
Alghero,2012,S1,11,12298,11997
Olbia,2012,S1,04,1979,2329
Olbia,2012,S1,14,32366,26170
Olbia,2012,S1,11,14361,11668
Olbia,2012,S1,02,47693,44182
Alghero,2012,S2,02,27765,22736
Olbia,2012,S2,13,12112,11248
Olbia,2012,S2,03,21931,18204
Olbia,2012,S2,11,13688,12823
Alghero,2012,S2,11,6102,5379
Alghero,2012,S2,12,14802,13373
Alghero,2012,S2,13 + 14,11443,11337
Olbia,2012,S2,12,6878,6060
Olbia,2012,S2,02,52954,40724
Alghero,2012,S2,03 + 04,27441,24624
Olbia,2012,S2,14,21539,21500
Olbia,2012,S2,04,4778,3973
Olbia,2012,S3,04,9413,8220
Olbia,2012,S3,02,73749,69975
Olbia,2012,S3,03,31013,30810
Olbia,2012,S3,14,21790,20518
Alghero,2012,S3,03 + 04,30090,28460
Alghero,2012,S3,13 + 14,15315,13018
Alghero,2012,S3,02,33040,29648
Olbia,2012,S3,13,14466,13607
Alghero,2012,S3,11,7231,6758
Alghero,2012,S3,12,17726,16759
Olbia,2012,S3,11,21950,18887
Olbia,2012,S3,12,10182,9423
Olbia,2012,S4,12,10016,10642
Olbia,2012,S4,11,24812,27628
Alghero,2012,S4,11,8318,8767
Olbia,2012,S4,14,21652,22569
Olbia,2012,S4,13,13316,14420
Olbia,2012,S4,03,31780,33521
Alghero,2012,S4,03 + 04,30571,31092
Alghero,2012,S4,12,16208,18527
Alghero,2012,S4,13 + 14,12823,14434
Olbia,2012,S4,02,82777,85860
Olbia,2012,S4,04,14392,14842
Alghero,2012,S4,02,33238,34513
Olbia,2012,S5,02,49053,68222
Olbia,2012,S5,12,8397,10566
Alghero,2012,S5,11,10388,11460
Alghero,2012,S5,12,19678,23097
Olbia,2012,S5,14,36826,42142
Olbia,2012,S5,04,4616,6301
Alghero,2012,S5,03 + 04,42483,47674
Olbia,2012,S5,13,14534,17892
Alghero,2012,S5,02,35267,43497
Alghero,2012,S5,13 + 14,21656,24528
Olbia,2012,S5,11,17006,20213
Olbia,2012,S5,03,26291,33118
Olbia,2012,W1,02,26267,27190
Alghero,2012,W1,02,33862,34199
Olbia,2012,W1,13 + 14,3613,3449
Olbia,2012,W1,03 + 04,20804,20847
Alghero,2012,W1,03 + 04,44387,45539
Alghero,2012,W1,13 + 14,5777,5324
Olbia,2012,W1,11 + 12,628,655
Alghero,2012,W1,11 + 12,13115,13043
Alghero,2012,W2,11 + 12,12101,12710
Olbia,2012,W2,13 + 14,3312,4569
Alghero,2012,W2,13 + 14,6683,7485
Alghero,2012,W2,03 + 04,37145,35686
Olbia,2012,W2,03 + 04,20139,21079
Olbia,2012,W2,11 + 12,800,2173
Alghero,2012,W2,02,29159,28957
Olbia,2012,W2,02,25011,24529
Alghero,2011,S1,02,35891,33804
Alghero,2011,S1,12,18345,16159
Alghero,2011,S1,03 + 04,51413,49446
Olbia,2011,S1,02,43185,40823
Olbia,2011,S1,11,7915,6547
Olbia,2011,S1,12,6054,4875
Olbia,2011,S1,14,31822,25842
Olbia,2011,S1,03,29723,29079
Olbia,2011,S1,13,6607,5236
Olbia,2011,S1,04,1632,1523
Alghero,2011,S1,13 + 14,19055,17285
Alghero,2011,S1,11,11529,11317
Alghero,2011,S2,03 + 04,27914,25364
Alghero,2011,S2,11,6247,5770
Olbia,2011,S2,14,19025,18961
Alghero,2011,S2,12,13134,11842
Alghero,2011,S2,02,25561,22182
Olbia,2011,S2,02,46213,38420
Olbia,2011,S2,13,5608,5947
Alghero,2011,S2,13 + 14,9579,9096
Olbia,2011,S2,04,4948,4342
Olbia,2011,S2,12,4648,4450
Olbia,2011,S2,03,22189,19616
Olbia,2011,S2,11,8967,7942
Olbia,2011,S3,13,11197,11150
Olbia,2011,S3,11,17073,14677
Olbia,2011,S3,04,9515,8408
Alghero,2011,S3,11,8018,7525
Alghero,2011,S3,13 + 14,11643,10021
Olbia,2011,S3,14,22816,20902
Olbia,2011,S3,03,33955,31713
Olbia,2011,S3,12,7291,7066
Alghero,2011,S3,03 + 04,33290,30678
Alghero,2011,S3,12,14764,14287
Alghero,2011,S3,02,31299,27412
Olbia,2011,S3,02,71591,65451
Alghero,2011,S4,03 + 04,32575,34034
Alghero,2011,S4,02,30941,32260
Olbia,2011,S4,11,15331,17466
Olbia,2011,S4,03,29328,31697
Alghero,2011,S4,12,13512,15453
Olbia,2011,S4,12,7030,7132
Olbia,2011,S4,14,19479,19870
Olbia,2011,S4,13,7363,8170
Alghero,2011,S4,13 + 14,11419,11995
Olbia,2011,S4,02,63322,67606
Alghero,2011,S4,11,10180,10075
Olbia,2011,S4,04,12212,12780
Olbia,2011,S5,13,8867,11086
Olbia,2011,S5,11,14791,17106
Olbia,2011,S5,04,3217,4311
Olbia,2011,S5,12,6836,8265
Alghero,2011,S5,02,37223,43368
Olbia,2011,S5,14,38244,44351
Alghero,2011,S5,13 + 14,19014,21449
Olbia,2011,S5,02,45041,58661
Olbia,2011,S5,03,28824,34997
Alghero,2011,S5,03 + 04,49102,54347
Alghero,2011,S5,11,12517,12994
Alghero,2011,S5,12,17466,20404
Alghero,2011,W1,13 + 14,6663,6675
Alghero,2011,W1,03 + 04,47544,47572
Olbia,2011,W1,02,23823,26232
Alghero,2011,W1,02,35801,36704
Alghero,2011,W1,11 + 12,21901,21929
Olbia,2011,W1,13 + 14,5134,4870
Olbia,2011,W1,03 + 04,25788,26672
Olbia,2011,W1,11 + 12,561,559
Alghero,2011,W2,13 + 14,5072,5670
Olbia,2011,W2,13 + 14,2953,4658
Alghero,2011,W2,02,30335,28710
Alghero,2011,W2,11 + 12,11444,12009
Alghero,2011,W2,03 + 04,39841,40165
Olbia,2011,W2,02,20689,20830
Olbia,2011,W2,03 + 04,20972,22356
Alghero,2010,S1,03 + 04,48157,46717
Alghero,2010,S1,02,28321,26311
Alghero,2010,S1,13 + 14,16972,14490
Alghero,2010,S1,12,13736,11801
Alghero,2010,S1,11,9156,9003
Olbia,2010,S1,02,36704,33362
Olbia,2010,S1,03,28911,27648
Olbia,2010,S1,13,8399,6688
Olbia,2010,S1,12,4744,3508
Olbia,2010,S1,11,3310,2873
Olbia,2010,S1,04,0,2
Olbia,2010,S1,14,30800,26019
Alghero,2010,S2,13 + 14,8476,8884
Alghero,2010,S2,02,19208,17569
Alghero,2010,S2,11,6521,5656
Alghero,2010,S2,03 + 04,24847,23444
Alghero,2010,S2,12,12885,11355
Olbia,2010,S2,13,6246,6255
Olbia,2010,S2,02,40106,36799
Olbia,2010,S2,12,5983,5579
Olbia,2010,S2,11,4869,3811
Olbia,2010,S2,04,4033,3309
Olbia,2010,S2,03,20394,19392
Olbia,2010,S2,14,16612,18125
Alghero,2010,S3,13 + 14,13425,11052
Alghero,2010,S3,03 + 04,27817,25815
Alghero,2010,S3,02,24866,21312
Alghero,2010,S3,11,9858,9229
Alghero,2010,S3,12,16926,16474
Olbia,2010,S3,02,60315,54503
Olbia,2010,S3,04,8258,7844
Olbia,2010,S3,12,7682,7101
Olbia,2010,S3,13,10123,9564
Olbia,2010,S3,03,30471,27398
Olbia,2010,S3,14,19449,18367
Olbia,2010,S3,11,11909,9738
Alghero,2010,S4,02,28206,29232
Alghero,2010,S4,12,14601,16400
Alghero,2010,S4,03 + 04,28208,30182
Alghero,2010,S4,11,9881,10233
Olbia,2010,S4,03,26430,27857
Olbia,2010,S4,13,7001,7526
Alghero,2010,S4,13 + 14,11541,13280
Olbia,2010,S4,02,56983,59555
Olbia,2010,S4,14,16509,17786
Olbia,2010,S4,04,10674,11069
Olbia,2010,S4,11,10934,12410
Olbia,2010,S4,12,6365,6778
Olbia,2010,S5,02,38455,48076
Alghero,2010,S5,03 + 04,45886,49714
Alghero,2010,S5,11,12618,13736
Olbia,2010,S5,13,8925,11045
Alghero,2010,S5,13 + 14,19936,22036
Alghero,2010,S5,02,30127,35527
Olbia,2010,S5,14,34482,40043
Olbia,2010,S5,04,1100,1892
Alghero,2010,S5,12,18649,21295
Olbia,2010,S5,12,7649,9336
Olbia,2010,S5,03,28657,33670
Olbia,2010,S5,11,8375,9645
Alghero,2010,W1,02,33933,35325
Alghero,2010,W1,03 + 04,51883,52754
Alghero,2010,W1,11 + 12,13946,13697
Alghero,2010,W1,13 + 14,4248,3878
Olbia,2010,W1,13 + 14,7078,5602
Olbia,2010,W1,11 + 12,801,967
Olbia,2010,W1,02,20473,22426
Olbia,2010,W1,03 + 04,26215,27934
Alghero,2010,W2,02,25110,24887
Alghero,2010,W2,11 + 12,11448,11291
Alghero,2010,W2,03 + 04,34719,35130
Alghero,2010,W2,13 + 14,4775,5350
Olbia,2010,W2,11 + 12,185,524
Olbia,2010,W2,13 + 14,4452,5351
Olbia,2010,W2,02,18117,18179
Olbia,2010,W2,03 + 04,21263,22275
Alghero,2009,S1,12,19765,17971
Alghero,2009,S1,03 + 04,50653,48614
Alghero,2009,S1,02,32238,28889
Alghero,2009,S1,11,15730,15250
Alghero,2009,S1,13 + 14,18411,16713
Olbia,2009,S1,11,4847,4437
Olbia,2009,S1,12,7110,5541
Olbia,2009,S1,03,32767,31043
Olbia,2009,S1,02,39525,35559
Olbia,2009,S1,13,3969,3081
Olbia,2009,S1,14,32136,27365
Alghero,2009,S2,03 + 04,28906,27198
Alghero,2009,S2,12,13470,12841
Alghero,2009,S2,02,21089,19173
Alghero,2009,S2,11,9324,8143
Alghero,2009,S2,13 + 14,13712,12945
Olbia,2009,S2,04,2279,1836
Olbia,2009,S2,02,42146,39093
Olbia,2009,S2,03,23396,22961
Olbia,2009,S2,13,6786,5716
Olbia,2009,S2,12,7366,7263
Olbia,2009,S2,11,2405,1840
Olbia,2009,S2,14,18319,19247
Alghero,2009,S3,11,11916,10787
Alghero,2009,S3,02,24118,21386
Alghero,2009,S3,03 + 04,30359,27464
Alghero,2009,S3,13 + 14,17143,13991
Alghero,2009,S3,12,17506,17129
Olbia,2009,S3,13,11095,10198
Olbia,2009,S3,03,29025,26623
Olbia,2009,S3,14,19224,18220
Olbia,2009,S3,02,57553,52628
Olbia,2009,S3,12,10125,8841
Olbia,2009,S3,04,7833,6887
Olbia,2009,S3,11,6345,4273
Alghero,2009,S4,11,11314,11369
Alghero,2009,S4,03 + 04,31805,32562
Alghero,2009,S4,13 + 14,16184,18195
Alghero,2009,S4,12,15789,18280
Alghero,2009,S4,02,25237,25731
Olbia,2009,S4,13,10075,11644
Olbia,2009,S4,02,61553,67762
Olbia,2009,S4,04,11772,12675
Olbia,2009,S4,11,7625,8760
Olbia,2009,S4,03,31342,33846
Olbia,2009,S4,14,19518,20450
Olbia,2009,S4,12,11170,11804
Alghero,2009,S5,03 + 04,43754,47433
Alghero,2009,S5,02,28897,33299
Alghero,2009,S5,13 + 14,23462,26929
Alghero,2009,S5,11,15261,16629
Alghero,2009,S5,12,19557,22555
Olbia,2009,S5,12,8339,10919
Olbia,2009,S5,04,1670,2066
Olbia,2009,S5,11,3473,4657
Olbia,2009,S5,13,7592,9831
Olbia,2009,S5,14,31347,36426
Olbia,2009,S5,02,33728,44640
Olbia,2009,S5,03,27602,32538
Alghero,2009,W1,02,27795,29296
Alghero,2009,W1,03 + 04,48186,48860
Alghero,2009,W1,11 + 12,20239,19369
Alghero,2009,W1,13 + 14,2316,2436
Olbia,2009,W1,03 + 04,30626,31259
Olbia,2009,W1,11 + 12,820,855
Olbia,2009,W1,02,23557,25901
Olbia,2009,W1,13 + 14,10085,9426
Alghero,2009,W2,03 + 04,47554,46503
Alghero,2009,W2,02,30118,29435
Alghero,2009,W2,11 + 12,10668,11184
Alghero,2009,W2,13 + 14,2385,2706
Olbia,2009,W2,02,18422,19117
Olbia,2009,W2,13 + 14,4226,5763
Olbia,2009,W2,03 + 04,23067,23972
Olbia,2009,W2,11 + 12,229,425
